brand,model,source_type,url,source_domain,url_host,country,language,research_confidence,research_rank,source_validation,extraction_status,extraction_confidence,notes
Tesla,Model Y,manufacturer_configurator,https://www.tesla.com/sv_SE/modely/design,tesla.com,tesla.com,SE,sv,high,2,research_candidate_unvalidated,needs_validation,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.
Tesla,Model Y,manufacturer_model_page,https://www.tesla.com/sv_SE/modely,tesla.com,tesla.com,SE,sv,high,2,research_candidate_unvalidated,needs_validation,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.
Tesla,Model Y,manufacturer_specs_page,https://www.tesla.com/sv_SE/modely/design,tesla.com,tesla.com,SE,sv,high,2,research_candidate_unvalidated,needs_validation,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.
Volvo,EX30,manufacturer_configurator,https://www.volvocars.com/se/build/ex30-electric/,volvocars.com,volvocars.com,SE,sv,high,3,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.
Volvo,EX30,manufacturer_model_page,https://www.volvocars.com/se/cars/ex30-electric/,volvocars.com,volvocars.com,SE,sv,high,3,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.
Volvo,EX30,manufacturer_specs_page,https://www.volvocars.com/se/cars/ex30-electric/specifications/,volvocars.com,volvocars.com,SE,sv,high,3,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.
Polestar,4,manufacturer_configurator,https://www.polestar.com/se/polestar-4/order/,polestar.com,polestar.com,SE,sv,high,5,research_candidate_unvalidated,needs_validation,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.
Polestar,4,manufacturer_model_page,https://www.polestar.com/se/polestar-4/,polestar.com,polestar.com,SE,sv,high,5,research_candidate_unvalidated,needs_validation,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.
Polestar,4,manufacturer_specs_page,https://www.polestar.com/se/polestar-4/specifications/,polestar.com,polestar.com,SE,sv,high,5,research_candidate_unvalidated,needs_validation,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.
Kia,EV3,manufacturer_configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev3,kia.com,kia.com,SE,sv,high,6,research_candidate_unvalidated,needs_validation,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.
Kia,EV3,manufacturer_model_page,https://www.kia.com/se/nya-bilar/ev3/upptack/,kia.com,kia.com,SE,sv,high,6,research_candidate_unvalidated,needs_validation,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.
Kia,EV3,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,kia.com,SE,sv,high,6,research_candidate_unvalidated,needs_validation,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.
Kia,EV3,manufacturer_specs_page,https://www.kia.com/se/nya-bilar/ev3/specifikationer/,kia.com,kia.com,SE,sv,high,6,research_candidate_unvalidated,needs_validation,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.
Toyota,bZ4X,manufacturer_configurator,https://www.toyota.se/nya-bilar/bz4x/bygg-och-kop/,toyota.se,toyota.se,SE,sv,high,7,research_candidate_unvalidated,needs_validation,,"Verified. Page mentions ""rek. ca-pris från generalagent"". Configurator path inferred."
Toyota,bZ4X,manufacturer_model_page,https://www.toyota.se/nya-bilar/bz4x/,toyota.se,toyota.se,SE,sv,high,7,research_candidate_unvalidated,needs_validation,,"Verified. Page mentions ""rek. ca-pris från generalagent"". Configurator path inferred."
Toyota,bZ4X,manufacturer_specs_page,https://www.toyota.se/nya-bilar/bz4x/specifikationer/,toyota.se,toyota.se,SE,sv,high,7,research_candidate_unvalidated,needs_validation,,"Verified. Page mentions ""rek. ca-pris från generalagent"". Configurator path inferred."
Kia,EV5,manufacturer_configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev5,kia.com,kia.com,SE,sv,high,8,research_candidate_unvalidated,needs_validation,,Same Kia pattern as EV3.
Kia,EV5,manufacturer_model_page,https://www.kia.com/se/nya-bilar/ev5/upptack/,kia.com,kia.com,SE,sv,high,8,research_candidate_unvalidated,needs_validation,,Same Kia pattern as EV3.
Kia,EV5,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,kia.com,SE,sv,high,8,research_candidate_unvalidated,needs_validation,,Same Kia pattern as EV3.
Kia,EV5,manufacturer_specs_page,https://www.kia.com/se/nya-bilar/ev5/specifikationer/,kia.com,kia.com,SE,sv,high,8,research_candidate_unvalidated,needs_validation,,Same Kia pattern as EV3.
