priority,mvp_scope,brand,model,registrations_ytd,registrations_last_month,current_source_url,current_source_validation,research_action,accepted_source_types,rejected_source_types,notes
1,top_20,Tesla,Model Y,2412,1382,https://www.tesla.com/sv_SE/modely,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
2,top_20,Volvo,Ex30,1494,592,https://www.volvocars.com/se/cars/ex30-electric/,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
10,top_20,Mercedes-Benz,Eqa,556,288,https://www.mercedes-benz.se?ev_advisor_discovery_query=Mercedes-Benz+Eqa+elbil+pris+Sverige,needs_discovery,find_official_swedish_model_or_price_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
11,top_20,Renault,5,552,196,https://www.renault.se/elbilar/r5-e-tech-electric.html,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
12,top_20,BMW,iX1,477,198,https://www.bmw.se/sv/alla-modeller/bmw-i/ix1/2022/bmw-ix1-overview.html,needs_discovery,find_official_swedish_model_or_price_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
13,top_20,Mercedes-Benz,Cla,460,204,https://www.mercedes-benz.se?ev_advisor_discovery_query=Mercedes-Benz+Cla+elbil+pris+Sverige,needs_discovery,find_official_swedish_model_or_price_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
14,top_20,Tesla,Model 3,424,397,https://www.tesla.com/sv_SE/model3,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
15,top_20,BMW,iX3,341,318,https://www.bmw.se?ev_advisor_discovery_query=BMW+iX3+elbil+pris+Sverige,needs_discovery,find_official_swedish_model_or_price_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
17,top_20,Audi,Q4 E-Tron,324,150,https://www.audi.se/se/web/sv/models/q4-e-tron/q4-e-tron.html,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
18,top_20,Audi,A6 E-Tron,304,127,https://www.audi.se/se/web/sv/models/a6-e-tron/a6-e-tron.html,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
19,top_20,BMW,i4,300,129,https://www.bmw.se/sv/alla-modeller/bmw-i/i4/2024/bmw-i4-overview.html,needs_discovery,find_official_swedish_model_or_price_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
20,top_20,BMW,i5,292,128,https://www.bmw.se/sv/alla-modeller/bmw-i/i5/bmw-i5-sedan-overview.html,needs_discovery,find_official_swedish_model_or_price_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
22,top_30,Ford,Explorer,276,116,https://www.ford.se/personbilar/explorer-elektrisk,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
23,top_30,Cupra,Born,274,87,https://www.cupraofficial.se/bilar/cupra-born,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
24,top_30,Zeekr,7X,251,129,https://www.zeekr.eu/se-se?ev_advisor_discovery_query=Zeekr+7X+elbil+pris+Sverige,needs_discovery,find_official_swedish_model_or_price_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
25,top_30,Audi,Q6 E-Tron,247,111,https://www.audi.se/se/web/sv/models/q6-e-tron/q6-e-tron.html,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
28,top_30,Volvo,Es90,215,27,https://www.volvocars.com/se/cars/es90-electric/,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
29,top_30,Mazda,6E,202,117,https://www.mazda.se/modeller/mazda6e/,unreachable_or_redirect_problem,verify_or_replace_blocked_official_source,official Swedish model page; official Swedish price list PDF; official Swedish technical specs PDF; official Swedish configurator,third-party comparison sites; dealer listing pages; Mobility Sweden as spec source,Use Mobility Sweden only for market presence. Do not extract specs until an official source is reachable and validated.
