brand,model,source_type,url,source_domain,url_host,country,language,research_confidence,research_rank,source_validation,extraction_status,extraction_confidence,notes,official_domain_match,http_status,final_url,content_hash,content_type,fetched_at
Tesla,Model Y,manufacturer_specs_page,https://www.tesla.com/sv_SE/modely/design,tesla.com,tesla.com,SE,sv,high,2,unreachable_or_redirect_problem,blocked,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.,True,403,,,,
Tesla,Model Y,manufacturer_model_page,https://www.tesla.com/sv_SE/modely,tesla.com,tesla.com,SE,sv,high,2,unreachable_or_redirect_problem,blocked,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.,True,403,,,,
Tesla,Model Y,manufacturer_configurator,https://www.tesla.com/sv_SE/modely/design,tesla.com,tesla.com,SE,sv,high,2,unreachable_or_redirect_problem,blocked,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.,True,403,,,,
Volvo,EX30,manufacturer_specs_page,https://www.volvocars.com/se/cars/ex30-electric/specifications/,volvocars.com,volvocars.com,SE,sv,high,3,unreachable_or_redirect_problem,blocked,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.,True,403,,,,
Volvo,EX30,manufacturer_model_page,https://www.volvocars.com/se/cars/ex30-electric/,volvocars.com,volvocars.com,SE,sv,high,3,unreachable_or_redirect_problem,blocked,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.,True,403,,,,
Volvo,EX30,manufacturer_configurator,https://www.volvocars.com/se/build/ex30-electric/,volvocars.com,volvocars.com,SE,sv,high,3,unreachable_or_redirect_problem,blocked,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.,True,403,,,,
Polestar,4,manufacturer_specs_page,https://www.polestar.com/se/polestar-4/specifications/,polestar.com,polestar.com,SE,sv,high,5,reachable_official_model_source,queued,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.,True,200,https://www.polestar.com/se/polestar-4-models/polestar-4-coupe/specifications/,ab701b26c7020a7bf42e74527299cbdf9d3a28898ebcfa7423fdf9456c97f70a,text/html,2026-05-15T17:48:22.637268+00:00
Polestar,4,manufacturer_model_page,https://www.polestar.com/se/polestar-4/,polestar.com,polestar.com,SE,sv,high,5,reachable_official_model_source,queued,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.,True,200,https://www.polestar.com/se/polestar-4-models/polestar-4-coupe/,1047c55f134f396cdd178dfea39c4ed0e517ec4f6c6eab3e89e92dc5dc0599c9,text/html,2026-05-15T17:48:23.005746+00:00
Polestar,4,manufacturer_configurator,https://www.polestar.com/se/polestar-4/order/,polestar.com,polestar.com,SE,sv,high,5,unreachable_or_redirect_problem,blocked,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.,True,404,,,,
Kia,EV3,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,kia.com,SE,sv,high,6,reachable_official_model_source,queued,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.,True,200,https://www.kia.com/se/kopa/prislista/,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,text/html; charset=UTF-8,2026-05-15T17:48:24.376302+00:00
Kia,EV3,manufacturer_specs_page,https://www.kia.com/se/nya-bilar/ev3/specifikationer/,kia.com,kia.com,SE,sv,high,6,reachable_official_model_source,queued,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.,True,200,https://www.kia.com/se/nya-bilar/ev3/specifikationer/,2d08c3120db55a7ae6ab4331a90d5fff60db059a253d2e662566469935aa4a18,text/html; charset=UTF-8,2026-05-15T17:48:24.594260+00:00
