brand,model,source_type,url,title,country,language,extraction_status,extraction_confidence,needs_mapping,notes
Volvo,EX40,model_page,https://www.volvocars.com/se/cars/ex40-electric/,Volvo EX40 Swedish model page,SE,sv,needs_review,medium,true,"Mobility Sweden bundles EX40 + XC40 ICE; canonical split required before extraction."
Volvo,EX40,specs_page,https://www.volvocars.com/se/cars/ex40-electric/specifications/,Volvo EX40 specifications,SE,sv,needs_review,medium,true,"Volvo blocks scrapers; use SSR/cached fetch."
Volvo,EX40,configurator,https://www.volvocars.com/se/build/ex40-electric/,Volvo EX40 build,SE,sv,needs_review,medium,true,
Tesla,Model Y,model_page,https://www.tesla.com/sv_SE/modely,Tesla Model Y Swedish model page,SE,sv,verified,high,false,"Tesla returns 403 on direct fetch; use headless browser."
Tesla,Model Y,configurator,https://www.tesla.com/sv_SE/modely/design,Tesla Model Y configurator and pricing,SE,sv,verified,high,false,"Single-page design+price flow; no separate price list."
Volvo,EX30,model_page,https://www.volvocars.com/se/cars/ex30-electric/,Volvo EX30 Swedish model page,SE,sv,verified,high,false,"Volvo blocks direct scraping."
Volvo,EX30,specs_page,https://www.volvocars.com/se/cars/ex30-electric/specifications/,Volvo EX30 specifications,SE,sv,verified,high,false,
Volvo,EX30,configurator,https://www.volvocars.com/se/build/ex30-electric/,Volvo EX30 build,SE,sv,verified,high,false,
Volkswagen,ID.7,model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id7.html,Volkswagen ID.7 Swedish model page,SE,sv,verified,high,true,"Mobility Sweden bundles ID.7 + ID.7 Tourer; sedan URL under /elbilar/vara-elbilar/."
Volkswagen,ID.7 Tourer,model_page,https://www.volkswagen.se/sv/modeller/id7-tourer.html,Volkswagen ID.7 Tourer Swedish model page,SE,sv,verified,high,true,"Tourer URL inconsistent with sedan: under /modeller/ instead of /elbilar/vara-elbilar/."
Polestar,4,model_page,https://www.polestar.com/se/polestar-4/,Polestar 4 Swedish model page,SE,sv,verified,high,false,
Polestar,4,specs_page,https://www.polestar.com/se/polestar-4/specifications/,Polestar 4 specifications,SE,sv,verified,high,false,
Polestar,4,configurator,https://www.polestar.com/se/polestar-4/order/,Polestar 4 order/configurator,SE,sv,verified,high,false,
Kia,EV3,model_page,https://www.kia.com/se/nya-bilar/ev3/upptack/,Kia EV3 Swedish model page,SE,sv,verified,high,false,
Kia,EV3,specs_page,https://www.kia.com/se/nya-bilar/ev3/specifikationer/,Kia EV3 specifications,SE,sv,verified,high,false,
Kia,EV3,price_list,https://www.kia.com/se/kopa/prislista/,Kia Sweden price list (all models),SE,sv,verified,high,false,"Shared price list for all Kia models."
Kia,EV3,configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev3,Kia EV3 configurator,SE,sv,verified,high,false,
Toyota,bZ4X,model_page,https://www.toyota.se/nya-bilar/bz4x/,Toyota bZ4X Swedish model page,SE,sv,verified,high,false,"Page mentions ""rek. ca-pris från generalagent""."
Toyota,bZ4X,specs_page,https://www.toyota.se/nya-bilar/bz4x/specifikationer/,Toyota bZ4X specifications,SE,sv,needs_review,medium,false,
Toyota,bZ4X,configurator,https://www.toyota.se/nya-bilar/bz4x/bygg-och-kop/,Toyota bZ4X configurator,SE,sv,needs_review,medium,false,
Kia,EV5,model_page,https://www.kia.com/se/nya-bilar/ev5/upptack/,Kia EV5 Swedish model page,SE,sv,verified,high,false,
Kia,EV5,specs_page,https://www.kia.com/se/nya-bilar/ev5/specifikationer/,Kia EV5 specifications,SE,sv,verified,high,false,
Kia,EV5,price_list,https://www.kia.com/se/kopa/prislista/,Kia Sweden price list (all models),SE,sv,verified,high,false,
Kia,EV5,configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev5,Kia EV5 configurator,SE,sv,verified,high,false,
Skoda,Enyaq,model_page,https://www.skoda.se/modeller/enyaq/,Skoda Enyaq Swedish model page,SE,sv,verified,high,false,
Skoda,Enyaq,price_list,https://www.skoda.se/_doc/1d23f075-2685-40f9-ad6f-a31b09f3d660,Skoda Enyaq price list PDF,SE,sv,verified,medium,false,"Rotating UUID PDF — discovery script must re-resolve from model page."
Skoda,Enyaq,configurator,https://clg.skoda-auto.com,Skoda configurator (cross-EU domain),SE,sv,verified,medium,false,"External configurator domain shared across markets."
Volkswagen,ID.4,model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4.html,Volkswagen ID.4 Swedish model page,SE,sv,needs_review,medium,false,"Pattern inferred from ID.7 verified URL."
Volkswagen,ID.4,configurator,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4/konfigurator.html,Volkswagen ID.4 configurator,SE,sv,needs_review,medium,false,
Volvo,EC40,model_page,https://www.volvocars.com/se/cars/ec40-electric/,Volvo EC40 Swedish model page,SE,sv,needs_review,medium,true,"Mobility Sweden bundles EC40 + C40 ICE; canonical split required."
Volvo,EC40,specs_page,https://www.volvocars.com/se/cars/ec40-electric/specifications/,Volvo EC40 specifications,SE,sv,needs_review,medium,true,
Volvo,EC40,configurator,https://www.volvocars.com/se/build/ec40-electric/,Volvo EC40 build,SE,sv,needs_review,medium,true,
Kia,EV9,model_page,https://www.kia.com/se/nya-bilar/ev9/upptack/,Kia EV9 Swedish model page,SE,sv,verified,high,false,
Kia,EV9,specs_page,https://www.kia.com/se/nya-bilar/ev9/specifikationer/,Kia EV9 specifications,SE,sv,verified,high,false,
