batch_order,brand,model,source_type,url,source_domain,research_rank,research_confidence,content_hash,content_type,source_validation,preflight_status,source_text_path,extraction_status,batch_reason
1,Volvo,Ex30,manufacturer_rendered_model_page,https://www.volvocars.com/se/cars/ex30-electric/,volvocars.com,2,high,ea9c1d5431eb090500b23c813059b9d6684c72b2bac4f55e8818dfc6df3d9790,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\02-volvo-ex30-ea9c1d5431.txt,ready_for_ai_extraction,browser_rendered_official_source
2,Mercedes-Benz,Eqa,manufacturer_rendered_model_page,https://www.mercedes-benz.se/passengercars/models/suv/eqa/overview.html,mercedes-benz.se,10,high,c1a36a177aa5be02cd13c69f869fdb8769b3592b81150dd79936a6678368a2ce,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\10-mercedes-benz-eqa-c1a36a177a.txt,ready_for_ai_extraction,browser_rendered_official_source
3,Mercedes-Benz,Eqa,manufacturer_rendered_model_page,https://www.mercedes-benz.se/passengercars/models/suv/h243-fl-25-2-spa/finance.html,mercedes-benz.se,10,high,c1a36a177aa5be02cd13c69f869fdb8769b3592b81150dd79936a6678368a2ce,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\10-mercedes-benz-eqa-c1a36a177a.txt,ready_for_ai_extraction,browser_rendered_official_source
4,Renault,5,manufacturer_rendered_model_page,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,renault.se,11,high,90ec2595ea7aff4feb7e631d4753ae770ae493b30e57687dc720d3f94160db4c,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\11-renault-5-90ec2595ea.txt,ready_for_ai_extraction,browser_rendered_official_source
5,BMW,iX1,manufacturer_rendered_model_page,https://www.bmw.se/sv/alla-modeller/i-series/ix1/bmw-ix1-tekniska-data.html,bmw.se,12,high,745d98611dd50f06e68b976a0f76cd731fd0a67e9858fd449b195113f7f3f5f2,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\12-bmw-ix1-745d98611d.txt,ready_for_ai_extraction,browser_rendered_official_source
6,Mercedes-Benz,Cla,manufacturer_rendered_model_page,https://www.mercedes-benz.se/passengercars/cars-guide/fleet-business/modeller/cla-eq.html,mercedes-benz.se,13,high,8c450754ecbbe1205b6b5cc27c2814700d556f032a49ebe12044ccad01978b6e,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\13-mercedes-benz-cla-8c450754ec.txt,ready_for_ai_extraction,browser_rendered_official_source
7,BMW,iX3,manufacturer_rendered_model_page,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3-tekniska-data.html,bmw.se,15,high,1afb57e0afa0c0938a7ef8a9038c387e9c1404c6fef705724d43722b6ec9a6c9,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\15-bmw-ix3-1afb57e0af.txt,ready_for_ai_extraction,browser_rendered_official_source
8,Audi,Q4 E-Tron,manufacturer_rendered_model_page,https://www.audi.se/se/web/sv/models/q4-e-tron/q4-e-tron.html,audi.se,17,high,c0abe104601f396a8541d8713beaffe31e071868b5168afdacd49900bf29b3fa,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\17-audi-q4-e-tron-c0abe10460.txt,ready_for_ai_extraction,browser_rendered_official_source
9,Audi,A6 E-Tron,manufacturer_rendered_model_page,https://www.audi.se/sv/models/a6-e-tron/a6-sportback-e-tron/,audi.se,18,high,addff1f8f224dd165485d08c6108ab9fe4ec7d18e0935b638420dbb4669e9def,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\18-audi-a6-e-tron-addff1f8f2.txt,ready_for_ai_extraction,browser_rendered_official_source
10,BMW,i4,manufacturer_rendered_model_page,https://www.bmw.se/sv/alla-modeller/i-series/i4/bmw-i4-gran-coupe.html,bmw.se,19,high,38522e8886d9c47e5bf7c151974b1821ccd550886b07d21072e6b3fca882c513,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\19-bmw-i4-38522e8886.txt,ready_for_ai_extraction,browser_rendered_official_source
