type,brand,model,mobility_sweden_name,url,source_type,verification_status,confidence,safe_to_use,notes
mapping_rule,Volvo,EX40,VOLVO EX/XC40,,alias_rule,resolved_ev_only_filter,high,true,"Mobility Sweden bundles EX40 + XC40 ICE/PHEV but market_models.csv is pre-filtered to fuel_type_raw=EL; all rows are EV variant. Deterministic rule: brand=VOLVO && model=EX/XC40 && fuel_type=EL -> Volvo EX40."
mapping_rule,Volkswagen,ID.7,VW ID.7/ID.7 TOURER,,alias_rule,resolved_split_into_two_canonicals,medium,conditional,"Bundled sedan + Tourer. Sedan treated as primary canonical; registration count attributed to ID.7 family. Tourer added as secondary canonical with own URLs but 0 attributed registrations until VIN-level split possible. Safe to automap as primary; Tourer extraction must use separate row."
mapping_rule,Volkswagen,ID.7 Tourer,VW ID.7/ID.7 TOURER,,alias_rule,resolved_split_into_two_canonicals,medium,conditional,"Secondary canonical for Tourer body. Sources at volkswagen.se/sv/modeller/id7-tourer.html. Inherits no Mobility Sweden registration count."
mapping_rule,Volvo,EC40,VOLVO EC/C40,,alias_rule,resolved_ev_only_filter,high,true,"Same EV-only filter logic as EX/XC40. Deterministic rule: brand=VOLVO && model=EC/C40 && fuel_type=EL -> Volvo EC40."
mapping_rule,Mercedes-Benz,CLA EQ,MERCEDES CLA,,alias_rule,resolved_ev_only_filter,high,true,"Mercedes sells CLA ICE/MHEV and CLA with EQ Technology (full EV). EL filter eliminates ICE rows. Deterministic rule: brand=MERCEDES && model=CLA && fuel_type=EL -> Mercedes-Benz CLA EQ."
mapping_rule,Renault,Scenic E-Tech,RENAULT SCENIC,,alias_rule,resolved_ev_only_filter,high,true,"Old Scenic ICE was discontinued before EV launch. All EL-filtered SCENIC rows are Scenic E-Tech."
source_url,Tesla,Model Y,TESLA MODEL Y,https://www.tesla.com/sv_SE/modely,manufacturer_model_page,bot_blocked,high,conditional,"Official Swedish Tesla URL. Returns 403 to scrapers; reachable in normal browser. Requires headless browser (Playwright/Puppeteer) for extraction."
source_url,Tesla,Model Y,TESLA MODEL Y,https://www.tesla.com/sv_SE/modely/design,manufacturer_configurator,bot_blocked,high,conditional,"Configurator + price flow on single page. Same blocking as main page."
source_url,Volvo,EX30,VOLVO EX/XC40,https://www.volvocars.com/se/cars/ex30-electric/,manufacturer_model_page,bot_blocked,high,conditional,"Verified via Google. Volvo blocks direct scraping; needs SSR cache or partner feed. URL stable."
source_url,Volvo,EX30,VOLVO EX/XC40,https://www.volvocars.com/se/cars/ex30-electric/specifications/,manufacturer_specs_page,bot_blocked,high,conditional,"Dedicated specs subpath. Blocks scrapers."
source_url,Volvo,EX30,VOLVO EX/XC40,https://www.volvocars.com/se/build/ex30-electric/,manufacturer_configurator,bot_blocked,high,conditional,"Configurator subpath. Blocks scrapers."
source_url,Polestar,4,POLESTAR 4,https://www.polestar.com/se/polestar-4/,manufacturer_model_page,verified_reachable,high,true,"Verified directly via fetch. Clean URL pattern. Stable."
source_url,Polestar,4,POLESTAR 4,https://www.polestar.com/se/polestar-4/specifications/,manufacturer_specs_page,verified_reachable,high,true,"Verified. Dedicated specs page. Stable."
source_url,Polestar,4,POLESTAR 4,https://www.polestar.com/se/polestar-4/order/,manufacturer_configurator,pattern_inferred,high,true,"Polestar uses /order/ for configurator across models. High pattern confidence."
source_url,Kia,EV3,KIA EV3,https://www.kia.com/se/nya-bilar/ev3/upptack/,manufacturer_model_page,verified_reachable,high,true,"Verified directly. Kia has cleanest structure. Stable."
source_url,Kia,EV3,KIA EV3,https://www.kia.com/se/nya-bilar/ev3/specifikationer/,manufacturer_specs_page,verified_reachable,high,true,"Verified. Dedicated specifications page."
source_url,Kia,EV3,KIA EV3,https://www.kia.com/se/kopa/prislista/,manufacturer_price_list,verified_reachable,high,true,"Verified. Shared price list URL across all Kia models — single fetch covers entire portfolio."
source_url,Kia,EV3,KIA EV3,https://www.kia.com/se/kopa/bygg-din-kia/#/ev3,manufacturer_configurator,verified_reachable,high,true,"Verified. Hash-based routing in configurator."
source_url,Toyota,bZ4X,TOYOTA BZ4X,https://www.toyota.se/nya-bilar/bz4x/,manufacturer_model_page,verified_reachable,high,true,"Verified. Page mentions ""rek. ca-pris från generalagent""."
source_url,Toyota,bZ4X,TOYOTA BZ4X,https://www.toyota.se/nya-bilar/bz4x/specifikationer/,manufacturer_specs_page,pattern_inferred,medium,conditional,"Subpath inferred from main page navigation. Verify before extraction."
source_url,Toyota,bZ4X,TOYOTA BZ4X,https://www.toyota.se/nya-bilar/bz4x/bygg-och-kop/,manufacturer_configurator,pattern_inferred,medium,conditional,"Subpath inferred from main page navigation."
source_url,Kia,EV5,KIA EV5,https://www.kia.com/se/nya-bilar/ev5/upptack/,manufacturer_model_page,pattern_inferred,high,true,"Same Kia pattern as EV3 (verified). High pattern confidence."
