rank,brand,canonical_model,mobility_sweden_name,model_page_url,price_list_url,specs_url,configurator_url,source_domain,confidence,needs_mapping,notes
1,Volvo,EX40,VOLVO EX/XC40,https://www.volvocars.com/se/cars/ex40-electric/,,https://www.volvocars.com/se/cars/ex40-electric/specifications/,https://www.volvocars.com/se/build/ex40-electric/,volvocars.com,medium,true,"Mobility Sweden bundles EX40 (renamed from XC40 Recharge) with XC40 ICE registrations. Confirm canonical split before publishing."
2,Tesla,Model Y,TESLA MODEL Y,https://www.tesla.com/sv_SE/modely,,https://www.tesla.com/sv_SE/modely/design,https://www.tesla.com/sv_SE/modely/design,tesla.com,high,false,"Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator."
3,Volvo,EX30,VOLVO EX30,https://www.volvocars.com/se/cars/ex30-electric/,,https://www.volvocars.com/se/cars/ex30-electric/specifications/,https://www.volvocars.com/se/build/ex30-electric/,volvocars.com,high,false,"Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed."
4,Volkswagen,ID.7,VW ID.7/ID.7 TOURER,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id7.html,,,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id7.html,volkswagen.se,medium,true,"Mobility Sweden bundles sedan + Tourer. Sedan URL verified. Inconsistent VW pattern: sedan under /elbilar/vara-elbilar/, Tourer under /modeller/."
4b,Volkswagen,ID.7 Tourer,VW ID.7/ID.7 TOURER,https://www.volkswagen.se/sv/modeller/id7-tourer.html,,,,volkswagen.se,medium,true,"Same model group in Mobility Sweden. Need to split if treated as separate canonical."
5,Polestar,4,POLESTAR 4,https://www.polestar.com/se/polestar-4/,,https://www.polestar.com/se/polestar-4/specifications/,https://www.polestar.com/se/polestar-4/order/,polestar.com,high,false,"Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/."
6,Kia,EV3,KIA EV3,https://www.kia.com/se/nya-bilar/ev3/upptack/,https://www.kia.com/se/kopa/prislista/,https://www.kia.com/se/nya-bilar/ev3/specifikationer/,https://www.kia.com/se/kopa/bygg-din-kia/#/ev3,kia.com,high,false,"Verified. Kia has the cleanest structure: dedicated specifications + price list URLs."
7,Toyota,bZ4X,TOYOTA BZ4X,https://www.toyota.se/nya-bilar/bz4x/,,https://www.toyota.se/nya-bilar/bz4x/specifikationer/,https://www.toyota.se/nya-bilar/bz4x/bygg-och-kop/,toyota.se,high,false,"Verified. Page mentions ""rek. ca-pris från generalagent"". Configurator path inferred."
8,Kia,EV5,KIA EV5,https://www.kia.com/se/nya-bilar/ev5/upptack/,https://www.kia.com/se/kopa/prislista/,https://www.kia.com/se/nya-bilar/ev5/specifikationer/,https://www.kia.com/se/kopa/bygg-din-kia/#/ev5,kia.com,high,false,"Same Kia pattern as EV3."
9,Skoda,Enyaq,SKODA ENYAQ,https://www.skoda.se/modeller/enyaq/,https://www.skoda.se/_doc/1d23f075-2685-40f9-ad6f-a31b09f3d660,,https://clg.skoda-auto.com,skoda.se,high,false,"Verified. Price list is a downloadable PDF (UUID-based filename — may rotate). External configurator domain."
10,Volkswagen,ID.4,VW ID.4,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4.html,,,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4/konfigurator.html,volkswagen.se,medium,false,"VW pattern: /elbilar/vara-elbilar/idN.html. Verified pattern via ID.7."
11,Volvo,EC40,VOLVO EC/C40,https://www.volvocars.com/se/cars/ec40-electric/,,https://www.volvocars.com/se/cars/ec40-electric/specifications/,https://www.volvocars.com/se/build/ec40-electric/,volvocars.com,medium,true,"Mobility Sweden bundles EC40 (renamed from C40 Recharge) with C40 mild-hybrid. Same canonical split as EX/XC40."
